year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2014,0,Bay of Plenty Region,20-24,Female,5913,70944,69225,180,18024,1116,21834,10968,45,13743,3312,15759,43860
2014,0,Bay of Plenty Region,20-24,Male,6354,76260,74424,147,14118,4986,33558,9090,414,8466,3645,9858,55377
2014,0,Canterbury Region,15-19,All,31089,373044,367245,241929,51951,5496,31710,19476,138,9447,7095,7482,157026
2014,0,Canterbury Region,15-19,Female,14874,178512,175452,120027,25710,681,10923,10506,6,4605,2991,4233,76563
2014,0,Canterbury Region,15-19,Male,16212,194532,191793,121899,26241,4815,20787,8970,132,4842,4107,3246,80463
2014,0,Canterbury Region,20-24,All,32808,393672,383646,2388,112071,21300,168039,37761,480,28785,12813,27081,302409
2014,0,Canterbury Region,20-24,Female,15150,181788,176850,1254,56817,3468,70266,21537,0,17691,5814,17253,135447
2014,0,Canterbury Region,20-24,Male,17658,211884,206793,1134,55248,17835,97773,16224,480,11097,6999,9831,166962
2014,0,Gisborne Region,15-19,All,2583,30972,30564,20739,3687,330,1752,1587,18,1659,798,1344,10614
2014,0,Gisborne Region,15-19,Female,1266,15216,15006,10461,1797,93,510,810,0,957,381,864,5091
2014,0,Gisborne Region,15-19,Male,1314,15756,15561,10275,1890,237,1245,777,18,702,417,480,5526
2014,0,Gisborne Region,20-24,All,2076,24924,24483,66,5772,1440,8142,3513,111,4167,1269,5205,16125
2014,0,Gisborne Region,20-24,Female,954,11448,11238,42,3036,237,2769,1878,0,2706,570,3417,6342
2014,0,Gisborne Region,20-24,Male,1125,13476,13245,27,2739,1203,5373,1635,108,1464,699,1788,9783
2014,0,Hawke's Bay Region,15-19,All,8763,105144,103758,72462,11691,759,5865,5214,84,5043,2640,4899,35865
2014,0,Hawke's Bay Region,15-19,Female,4239,50868,50160,36312,5634,138,2094,2505,6,2361,1107,2619,18246
2014,0,Hawke's Bay Region,15-19,Male,4521,54276,53601,36153,6057,618,3771,2712,75,2679,1533,2280,17619
2014,0,Hawke's Bay Region,20-24,All,6573,78876,77079,219,18276,3447,29733,10452,279,11199,3471,13854,54468
2014,0,Hawke's Bay Region,20-24,Female,3192,38304,37509,84,10023,750,12171,5664,15,7191,1614,8853,24465
2014,0,Hawke's Bay Region,20-24,Male,3381,40572,39570,135,8253,2697,17562,4791,264,4008,1860,5001,30003
2014,0,Manawatu-Wanganui Region,15-19,All,12597,151164,149451,100599,18390,1413,9456,8262,42,7761,3528,7398,50793
2014,0,Manawatu-Wanganui Region,15-19,Female,6111,73320,72447,49869,9480,264,3267,4320,0,3681,1560,4038,25203
2014,0,Manawatu-Wanganui Region,15-19,Male,6486,77844,77007,50733,8904,1146,6189,3942,42,4080,1971,3360,25590
2014,0,Manawatu-Wanganui Region,20-24,All,12378,148548,145761,546,43650,7167,52104,17058,222,19038,5979,22665,100809
2014,0,Manawatu-Wanganui Region,20-24,Female,6129,73572,72081,303,24834,1539,20880,9798,15,11787,2928,13293,46281
2014,0,Manawatu-Wanganui Region,20-24,Male,6246,74976,73680,243,18816,5625,31221,7260,210,7251,3051,9372,54528
2014,0,Marlborough Region,15-19,All,2121,25464,25185,17841,2127,258,2253,1479,0,717,507,780,11097
