eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
Pacific Islander,All,2014,19,5202,62448,60606,2940,23031,603,10722,8661,252,9030,5361,8937,27864,0.048510049,0.38001188,0.00994951,0.176913177,0.142906643,0.004158004,0.148995149,0.088456588,0.147460647,0.45975646
Pacific Islander,All,2014,20,5079,60972,59226,591,18426,882,14703,8886,204,11190,4341,11370,31422,0.009978726,0.311113362,0.014892108,0.248252457,0.150035457,0.003444433,0.188937291,0.073295512,0.191976497,0.530544018
Pacific Islander,All,2014,21,5124,61500,59544,339,14250,1236,18957,8913,306,11730,3807,11691,35430,0.005693269,0.239318823,0.020757759,0.318369609,0.149687626,0.005139057,0.196997179,0.063935913,0.196342201,0.595022168
Pacific Islander,All,2014,22,5142,61752,60075,48,11832,1299,22434,8433,345,12381,3300,12396,37641,0.000799001,0.196953808,0.021622971,0.373433208,0.140374532,0.005742821,0.206092385,0.054931336,0.206342072,0.626566792
Pacific Islander,All,2014,23,4908,58860,57402,9,9282,1353,23280,7485,294,12687,3009,13053,36651,0.000156789,0.161701683,0.023570607,0.405560782,0.130396153,0.005121773,0.221020174,0.052419776,0.227396258,0.638496916
Pacific Islander,All,2014,24,4863,58320,56862,0,7794,1233,25494,6606,453,12660,2619,12261,36906,0,0.137068693,0.021684077,0.448348634,0.116176005,0.007966656,0.222644297,0.046058879,0.215627308,0.649045056
Pacific Islander,All,2015,15,6345,76116,74562,72030,21,0,12,69,0,1944,483,0,2814,0.966041683,0.000281645,0,0.00016094,0.000925404,0,0.026072262,0.006477831,0,0.037740404
Pacific Islander,All,2015,16,6012,72156,70554,65256,1158,6,168,372,0,2886,708,492,5913,0.924908581,0.01641296,8.50412E-05,0.002381155,0.005272557,0,0.040904839,0.010034867,0.006973382,0.083808147
Pacific Islander,All,2015,17,5631,67548,66027,54531,4104,42,1212,1227,18,3684,1200,1635,11919,0.825889409,0.062156391,0.000636103,0.018356127,0.018583307,0.000272616,0.055795356,0.018174383,0.024762597,0.180517061
Pacific Islander,All,2015,18,5196,62364,60645,31137,12240,165,3924,3921,141,6216,2901,3759,18810,0.513430621,0.201830324,0.002720752,0.064704427,0.064654959,0.002325006,0.102498145,0.047835766,0.061983675,0.310165719
