year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2015,0,15-19,0,252171,2196,558,477,372,216,16290,2586,777,612,477,261,22350,13614,11439,2718,19920,17256,4338,All
2015,0,15-19,0,125811,1122,231,279,150,114,9018,1341,333,363,189,141,12330,7728,6216,1860,11169,9393,2862,Female
2015,0,15-19,0,126363,1077,330,198,225,102,7272,1245,444,252,288,120,10020,5889,5223,858,8754,7866,1473,Male
2015,0,15-19,1,13827,2010,462,471,309,213,5565,2286,582,582,354,252,7251,3180,1317,2223,5250,3315,3039,All
2015,0,15-19,1,8052,1041,201,276,126,111,3306,1203,255,351,144,132,4377,2118,816,1536,3381,2061,2067,Female
2015,0,15-19,1,5775,969,261,192,183,99,2262,1080,327,231,210,117,2877,1059,501,687,1869,1254,972,Male
2015,0,20-24,0,270801,7143,2415,1713,1578,696,10983,27972,17481,11559,5574,6021,55206,111,0,102,18147,15501,3336,All
2015,0,20-24,0,133572,3342,969,900,615,336,5115,13689,7833,6150,2205,2622,27957,93,0,87,10404,8295,2634,Female
2015,0,20-24,0,137229,3801,1443,813,963,360,5865,14283,9645,5409,3369,3396,27252,18,0,15,7743,7206,705,Male
2015,0,20-24,1,53067,6810,2127,1701,1467,690,10287,16233,8499,7167,2946,3000,26601,102,0,96,7494,5535,2499,All
2015,0,20-24,1,31845,3228,882,897,582,333,4890,8589,4182,4221,1257,1461,15171,87,0,81,5148,3489,2091,Female
2015,0,20-24,1,21222,3579,1245,807,882,360,5397,7641,4317,2946,1689,1536,11433,15,0,12,2346,2049,408,Male
2015,1,15-19,0,6537,90,24,42,18,15,903,108,33,57,33,21,1260,783,531,345,1149,918,486,All
2015,1,15-19,0,2130,30,0,15,0,0,276,36,0,21,0,0,393,243,159,105,366,285,162,Female
2015,1,15-19,0,4407,60,21,30,18,0,630,75,24,36,27,12,867,543,369,243,786,633,327,Male
2015,1,15-19,1,3093,87,24,45,18,12,576,108,33,57,24,21,846,456,222,309,747,540,417,All
2015,1,15-19,1,1146,30,0,15,0,0,186,33,0,21,0,0,288,156,78,99,264,189,144,Female
2015,1,15-19,1,1944,60,21,27,15,0,384,72,24,33,24,12,558,300,147,210,480,354,273,Male
2015,1,20-24,0,7062,750,228,156,138,36,1110,2739,1392,1113,510,600,4287,0,0,0,1179,978,306,All
2015,1,20-24,0,900,87,18,30,0,0,126,309,105,174,33,57,561,0,0,0,222,153,90,Female
2015,1,20-24,0,6162,666,210,129,129,33,984,2430,1287,936,480,543,3723,0,0,0,960,825,216,Male
2015,1,20-24,1,4686,732,213,159,135,36,1074,2172,1068,897,378,459,3249,0,0,0,906,741,252,All
2015,1,20-24,1,780,84,15,27,0,0,123,291,90,162,27,51,504,0,0,0,198,135,87,Female
2015,1,20-24,1,3906,648,198,129,126,33,951,1884,975,735,348,408,2745,0,0,0,705,603,168,Male
2015,2,15-19,0,13116,0,12,18,0,0,3324,0,15,21,0,0,3420,3321,2367,1497,3414,2544,1545,All
2015,2,15-19,0,6087,0,0,18,0,0,1683,0,0,18,0,0,1725,1683,1116,867,1722,1206,888,Female
2015,2,15-19,0,7029,0,0,0,0,0,1641,0,0,0,0,0,1698,1638,1251,633,1695,1341,657,Male
2015,2,15-19,1,1446,0,0,21,0,0,1251,0,0,18,0,0,1257,1254,432,1227,1257,525,1230,All
2015,2,15-19,1,801,0,0,15,0,0,729,0,0,18,0,0,729,729,231,714,732,288,714,Female
2015,2,15-19,1,648,0,0,0,0,0,525,0,0,0,0,0,525,525,201,510,525,237,513,Male
2015,2,20-24,0,7905,732,261,186,174,78,1170,2874,1737,1392,642,795,4812,0,0,0,1392,1140,372,All
2015,2,20-24,0,2376,207,63,69,33,27,327,873,441,525,120,201,1527,0,0,0,510,360,210,Female
2015,2,20-24,0,5529,528,198,117,141,54,843,2001,1293,864,522,594,3285,0,0,0,882,780,162,Male
2015,2,20-24,1,4722,705,246,186,165,75,1119,2139,1167,1074,432,525,3363,0,0,0,1023,804,312,All
2015,2,20-24,1,2013,204,60,69,33,24,321,768,363,471,96,171,1329,0,0,0,459,315,201,Female
2015,2,20-24,1,2709,501,186,117,132,48,798,1368,804,603,339,357,2034,0,0,0,561,489,114,Male
2015,3,15-19,0,5031,75,15,159,0,0,2577,117,30,216,0,21,2853,2517,612,2250,2826,1308,2481,All
2015,3,15-19,0,5031,75,15,162,0,0,2577,117,30,216,0,18,2850,2517,612,2250,2826,1308,2481,Female
2015,3,15-19,1,3135,75,15,159,0,0,2301,117,27,213,0,21,2499,2244,369,2202,2475,1008,2388,All
